2026-06-21T20:51:27+00:00	ml-d2	budget	200
2026-06-21T20:58:01+00:00	ml-a2	budget	200
2026-06-21T21:19:10+00:00	ml-b2	budget	200
2026-06-21T21:21:16+00:00	ml-c2	budget	200
2026-06-21T21:40:56+00:00	ml-e1	budget	250
2026-06-21T21:48:05+00:00	ml-h1	budget	250
2026-06-21T22:08:48+00:00	ml-e2	budget	250
2026-06-21T22:10:23+00:00	ml-g1	budget	251
2026-06-21T22:32:07+00:00	ml-h2	budget	251
2026-06-21T23:30:43+00:00	ml-hard-b1	budget	501
2026-06-21T23:50:27+00:00	ml-hard-g1	budget	501
2026-06-21T23:55:05+00:00	ml-hard-c1	budget	501
2026-06-22T00:06:11+00:00	ml-long-b1	self-exit	165
2026-06-22T00:16:49+00:00	ml-hard-b2	budget	502
2026-06-22T00:40:35+00:00	ml-g2	budget	251
2026-06-22T01:16:56+00:00	ml-hard-a1	budget	400
2026-06-22T02:05:56+00:00	ml-hard-d1	budget	601
2026-06-22T02:20:38+00:00	ml-hard-h1	budget	601
2026-06-22T03:26:22+00:00	ml-hard-c2	budget	500
2026-06-22T03:44:06+00:00	ml-hard-d2	budget	501
2026-06-22T04:06:22+00:00	ml-diff-b1	budget	501
2026-06-22T04:57:59+00:00	ml-hard-g2	budget	501
2026-06-22T05:31:59+00:00	ml-diff-d1	budget	600
2026-06-22T05:53:17+00:00	ml-diff-b2	budget	500
2026-06-22T06:05:09+00:00	ml-diff-h1	budget	600
2026-06-22T06:06:10+00:00	ml-diff-a1	self-exit	298
